Assest Name,Description,Qunatity,Floor
Kitchen Soap (20L),,6,Basement
Hand Washing Liquid (20L),,5,Basement
Hand Washing Liquid (5L),,3,Basement
Glasses for Tenants,,30,Basement
Full Plates for Tenants,,19,Basement
Half Plates for Tenants,,30,Basement
Bowels for Tenants,,25,Basement
Forks for Tenants,,,Basement
Spoons for Tenants,,,Basement
Tea Spoons for Tenants,,,Basement
New Pots Set (KMART),,2,Basement
Cups for Tenants,,3,Basement
Frying Pans (24 cm),,3,Kitchen
Pots,,3,Kitchen
Microwaves,,3,Kitchen
Salad Mixing Bowels,,1,Kitchen
Colander,,3,Kitchen
Sieve,,1,Kitchen
Toasters,,3,Kitchen
Kettle,,3,Kitchen
Baking Tray,,1,Kitchen
Roasting Pan,,1,Kitchen
Ceiling Lamps,,,Basement
Mutli Purpose Spray,,3,Basement
E27 Lamps for Ceiling Lamps,,3,Basement
Mould Cleaner Spray,,6,Basement
HIT Spray,,2,Basement
Air Freshener,,5,Basement
Christmas Deceoration,,1,Basement
Extension Cables,,,Basement
Extension Boards,,,Basement
Blu Tacks,,0,Basement
Mattres Protectors (KS),,16,Ground Floor
Vacuum Cleaners ,,4,Ground Floor
Hangers,,6,Ground Floor
Pillow Cases,,9,First Floor
Foldable Chairs,,3,First Floor
Ume Printer (Brother),,1,First Floor
Ethernet Cables,A LOT SO I HAVEN’T COUNTED,,First Floor
Keyboard (For CCTV),,1,First Floor
240L Bin Liner (boxes),,5,Second Floor
36 L Bin Liner (boxes),,8,Second Floor
Toilet Paper,,64,Second Floor
Fridge's Shelves,A LOT SO I HAVEN’T COUNTED,,Second Floor
Mirrors,,6,Second Floor
Basket,,1,Second Floor
Trash Bins for Rooms,,12,Third Floor
Fitted Sheet (S),,10,Third Floor
Fitted Sheet (KS),,1,Third Floor
Fitted Sheet (Q/D),,2,Third Floor
Quilt Cover Double,,3,Third Floor
Carpet Cleaner,,1,Third Floor
Broken Min Bar Fridge,,1,Third Floor
Kettle,,1,Rooftop
Bean Bags,,5,Rooftop
Pool,,1,Rooftop
Clothes Drying Rack By H.M,,1,Rooftop
